#Lambda	Flux(Jy)
8.926	-0.01495
8.927	-0.01529
8.928	-0.01561
8.929	-0.01591
8.930	-0.01619
8.931	-0.01647
8.932	-0.01672
8.933	-0.01697
8.934	-0.01719
8.935	-0.01739
8.936	-0.01758
8.937	-0.01774
8.938	-0.01787
8.939	-0.01799
8.940	-0.01808
8.941	-0.01816
8.942	-0.01822
8.943	-0.01827
8.944	-0.01830
8.945	-0.01832
8.946	-0.01832
8.947	-0.01831
8.948	-0.01828
8.949	-0.01824
8.950	-0.01818
8.951	-0.01811
8.952	-0.01801
8.953	-0.01790
8.954	-0.01778
8.955	-0.01765
8.956	-0.01750
8.957	-0.01733
8.958	-0.01714
8.959	-0.01692
8.960	-0.01666
8.961	-0.01637
8.962	-0.01605
8.963	-0.01571
8.964	-0.01534
8.965	-0.01493
8.966	-0.01450
8.967	-0.01404
8.968	-0.01355
8.969	-0.01302
8.970	-0.01245
8.971	-0.01184
8.972	-0.01120
8.973	-0.01053
8.974	-0.00985
8.975	-0.00915
8.976	-0.00845
8.977	-0.00775
8.978	-0.00702
8.979	-0.00625
8.980	-0.00548
8.981	-0.00469
8.982	-0.00392
8.983	-0.00318
8.984	-0.00247
8.985	-0.00180
8.986	-0.00115
8.987	-0.00051
8.988	0.00010
8.989	0.00069
8.990	0.00124
8.991	0.00175
8.992	0.00219
8.993	0.00257
8.994	0.00289
8.995	0.00316
8.996	0.00338
8.997	0.00356
8.998	0.00368
8.999	0.00376
9.000	0.00380
9.001	0.00379
9.002	0.00372
9.003	0.00358
9.004	0.00340
9.005	0.00317
9.006	0.00291
9.007	0.00264
9.008	0.00237
9.009	0.00210
9.010	0.00182
9.011	0.00151
9.012	0.00118
9.013	0.00084
9.014	0.00051
9.015	0.00019
9.016	-0.00010
9.017	-0.00035
9.018	-0.00057
9.019	-0.00077
9.020	-0.00095
9.021	-0.00111
9.022	-0.00125
9.023	-0.00135
9.024	-0.00141
9.025	-0.00143
9.026	-0.00141
9.027	-0.00134
9.028	-0.00123
9.029	-0.00109
9.030	-0.00092
9.031	-0.00072
9.032	-0.00049
9.033	-0.00025
9.034	0.00001
9.035	0.00031
9.036	0.00064
9.037	0.00100
9.038	0.00138
9.039	0.00177
9.040	0.00216
9.041	0.00256
9.042	0.00295
9.043	0.00335
9.044	0.00377
9.045	0.00419
9.046	0.00462
9.047	0.00505
9.048	0.00547
9.049	0.00588
9.050	0.00629
9.051	0.00669
9.052	0.00709
9.053	0.00749
9.054	0.00789
9.055	0.00827
9.056	0.00865
9.057	0.00901
9.058	0.00936
9.059	0.00969
9.060	0.01002
9.061	0.01033
9.062	0.01064
9.063	0.01093
9.064	0.01120
9.065	0.01145
9.066	0.01167
9.067	0.01187
9.068	0.01205
9.069	0.01221
9.070	0.01236
9.071	0.01248
9.072	0.01257
9.073	0.01264
9.074	0.01268
9.075	0.01268
9.076	0.01266
9.077	0.01262
9.078	0.01254
9.079	0.01244
9.080	0.01232
9.081	0.01217
9.082	0.01200
9.083	0.01180
9.084	0.01157
9.085	0.01131
9.086	0.01102
9.087	0.01071
9.088	0.01038
9.089	0.01004
9.090	0.00970
9.091	0.00936
9.092	0.00901
9.093	0.00863
9.094	0.00824
9.095	0.00784
9.096	0.00744
9.097	0.00705
9.098	0.00668
9.099	0.00633
9.100	0.00600
9.101	0.00567
9.102	0.00535
9.103	0.00504
9.104	0.00474
9.105	0.00448
9.106	0.00425
9.107	0.00406
9.108	0.00391
9.109	0.00378
9.110	0.00369
9.111	0.00362
9.112	0.00359
9.113	0.00360
9.114	0.00365
9.115	0.00374
9.116	0.00387
9.117	0.00406
9.118	0.00428
9.119	0.00455
9.120	0.00485
9.121	0.00519
9.122	0.00557
9.123	0.00599
9.124	0.00644
9.125	0.00694
9.126	0.00749
9.127	0.00808
9.128	0.00871
9.129	0.00937
9.130	0.01004
9.131	0.01073
9.132	0.01142
9.133	0.01211
9.134	0.01283
9.135	0.01359
9.136	0.01435
9.137	0.01512
9.138	0.01589
9.139	0.01664
9.140	0.01736
9.141	0.01804
9.142	0.01871
9.143	0.01938
9.144	0.02004
9.145	0.02068
9.146	0.02128
9.147	0.02185
9.148	0.02236
9.149	0.02281
9.150	0.02320
9.151	0.02354
9.152	0.02384
9.153	0.02409
9.154	0.02430
9.155	0.02446
9.156	0.02458
9.157	0.02466
9.158	0.02468
9.159	0.02464
9.160	0.02454
9.161	0.02439
9.162	0.02421
9.163	0.02399
9.164	0.02377
9.165	0.02354
9.166	0.02332
9.167	0.02308
9.168	0.02280
9.169	0.02251
9.170	0.02220
9.171	0.02190
9.172	0.02161
9.173	0.02135
9.174	0.02113
9.175	0.02096
9.176	0.02079
9.177	0.02064
9.178	0.02051
9.179	0.02041
9.180	0.02034
9.181	0.02032
9.182	0.02034
9.183	0.02041
9.184	0.02054
9.185	0.02072
9.186	0.02094
9.187	0.02120
9.188	0.02149
9.189	0.02180
9.190	0.02212
9.191	0.02245
9.192	0.02279
9.193	0.02317
9.194	0.02358
9.195	0.02401
9.196	0.02444
9.197	0.02487
9.198	0.02529
9.199	0.02568
9.200	0.02605
9.201	0.02640
9.202	0.02675
9.203	0.02709
9.204	0.02741
9.205	0.02772
9.206	0.02801
9.207	0.02826
9.208	0.02849
9.209	0.02868
9.210	0.02884
9.211	0.02896
9.212	0.02907
9.213	0.02915
9.214	0.02923
9.215	0.02931
