FILENAME:	2bb015_9.txt
TITLE:	AFC Filter 01 ZnS Test Piece Sample 2BB @ 15K, 2.6°i, In f/8 (CDCR 04791/04797, SMCR 01930)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 01 (N-Band) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	20-Aug-2001
AUTHOR:	Richard Sherwood
CHANNEL:	01
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
2.235	-0.05593
2.236	0.30120
2.237	0.22748
2.238	-0.26997
2.239	0.00022
2.240	0.09075
2.241	-0.05496
2.242	-0.01293
2.243	0.04795
2.244	-0.17597
2.245	0.13993
2.246	0.07751
2.247	0.23179
2.248	0.27605
2.249	0.05116
2.250	-0.17079
2.251	-0.08683
2.252	-0.11178
2.253	0.19325
2.254	0.13417
2.255	0.06306
2.256	-0.06318
2.257	-0.19649
2.258	-0.21819
2.259	0.04949
2.260	0.17251
2.261	0.20855
2.262	-0.01499
2.263	-0.02170
2.264	-0.03434
2.265	-0.09187
2.266	0.01708
2.267	-0.13582
2.268	-0.51439
2.269	-0.07873
2.270	0.34791
2.271	0.03421
2.272	0.09655
2.273	0.08534
2.274	0.10933
2.275	0.12365
2.276	0.00926
2.277	0.10402
2.278	0.07171
2.279	0.10083
2.280	0.11121
2.281	0.15803
2.282	0.15174
2.283	0.04781
2.284	0.07451
2.285	0.23342
2.286	0.05077
2.287	0.07162
2.288	0.26810
2.289	-0.05214
2.290	-0.06714
2.291	0.01084
2.292	-0.07054
2.293	-0.08890
2.294	0.14242
2.295	0.14722
2.296	0.08854
2.297	0.12039
2.298	0.06698
2.299	0.01029
2.300	-0.07197
2.301	0.09789
2.302	0.10646
2.303	0.03946
2.304	0.08413
2.305	0.15065
2.306	0.12267
2.307	0.11628
2.308	0.14137
2.309	0.02797
2.310	-0.12172
2.311	0.10425
2.312	0.09125
2.313	0.15903
2.314	0.22516
2.315	0.12559
2.316	0.10463
2.317	0.04946
2.318	0.10993
2.319	0.14714
2.320	0.11933
2.321	0.22858
2.322	0.05825
2.323	0.10126
2.324	0.06817
2.325	0.10649
2.326	-0.04497
2.327	0.02183
2.328	0.04961
2.329	-0.09252
2.330	0.05326
2.331	0.10721
2.332	0.18383
2.333	0.10702
2.334	0.12328
2.335	0.04824
2.336	0.07354
2.337	0.10598
2.338	0.04177
2.339	0.06907
2.340	0.06382
2.341	-0.00531
2.342	-0.01321
2.343	0.01934
2.344	0.15186
2.345	0.28087
2.346	0.14642
2.347	0.04640
2.348	0.07450
2.349	-0.03776
2.350	0.09693
2.351	0.11256
2.352	-0.01813
2.353	0.07381
2.354	-0.05894
2.355	-0.02335
2.356	-0.01633
2.357	-0.09674
2.358	0.04355
2.359	0.08867
2.360	0.03453
2.361	-0.06014
2.362	-0.06242
2.363	-0.00149
2.364	-0.02929
2.365	-0.06001
2.366	-0.02615
2.367	0.01902
2.368	0.09821
2.369	-0.02892
2.370	-0.08679
2.371	0.07100
2.372	0.20953
2.373	0.05864
2.374	0.02653
2.375	0.01153
2.376	0.00955
2.377	0.00484
2.378	0.00914
2.379	-0.03997
2.380	0.04543
2.381	0.02597
2.382	0.01097
2.383	0.12408
2.384	0.13416
2.385	0.04144
2.386	0.07391
2.387	0.05110
2.388	0.01497
2.389	0.03822
2.390	-0.05625
2.391	-0.12652
2.392	0.00776
2.393	0.06333
2.394	0.04950
2.395	0.10417
2.396	-0.05326
2.397	-0.08275
2.398	-0.02449
2.399	0.03900
2.400	0.02801
2.401	-0.03916
2.402	0.04701
2.403	0.07495
2.404	0.13597
2.405	0.10588
2.406	0.11985
2.407	0.16785
2.408	0.12733
2.409	0.16510
2.410	0.13490
2.411	0.09566
2.412	0.08137
2.413	-0.00596
