#Lambda	Flux(Jy)
2.553	0.01914
2.554	0.01055
2.555	-0.01119
2.556	-0.02720
2.557	-0.02603
2.558	-0.01111
2.559	0.00503
2.560	0.00957
2.561	0.00103
2.562	-0.00488
2.563	0.00404
2.564	0.02104
2.565	0.03536
2.566	0.04395
2.567	0.04595
2.568	0.03887
2.569	0.02549
2.570	0.01638
2.571	0.01589
2.572	0.01535
2.573	0.00827
2.574	0.00182
2.575	0.00458
2.576	0.01228
2.577	0.01388
2.578	0.00691
2.579	-0.00261
2.580	-0.00908
2.581	-0.00819
2.582	0.00006
2.583	0.01074
2.584	0.01974
2.585	0.02333
2.586	0.01650
2.587	0.00166
2.588	-0.00997
2.589	-0.01174
2.590	-0.00634
2.591	0.00274
2.592	0.00913
2.593	0.00478
2.594	-0.00013
2.595	0.01461
2.596	0.03637
2.597	0.03270
2.598	0.00862
2.599	-0.01005
2.600	-0.01258
2.601	0.00106
2.602	0.02057
2.603	0.03544
2.604	0.04256
2.605	0.04074
2.606	0.03503
2.607	0.03294
2.608	0.03132
2.609	0.02400
2.610	0.01565
2.611	0.00848
2.612	-0.00453
2.613	-0.02070
2.614	-0.02744
2.615	-0.02343
2.616	-0.01669
2.617	-0.01269
2.618	-0.01393
2.619	-0.01570
2.620	-0.00919
2.621	0.00169
2.622	0.00267
2.623	-0.00478
2.624	-0.00697
2.625	-0.00201
2.626	-0.00184
2.627	-0.01290
2.628	-0.02429
2.629	-0.02904
2.630	-0.02959
2.631	-0.01635
2.632	0.01895
2.633	0.05956
2.634	0.07893
2.635	0.06788
2.636	0.04296
2.637	0.02204
2.638	0.00591
2.639	-0.01058
2.640	-0.02331
2.641	-0.02164
2.642	-0.00304
2.643	0.01961
2.644	0.03263
2.645	0.03369
2.646	0.02688
2.647	0.01741
2.648	0.00995
2.649	0.00744
2.650	0.00876
2.651	0.01001
2.652	0.00517
2.653	-0.00846
2.654	-0.02398
2.655	-0.03084
2.656	-0.02572
2.657	-0.01505
2.658	-0.00559
2.659	0.00068
2.660	0.00348
2.661	0.00431
2.662	0.00811
2.663	0.01716
2.664	0.02600
2.665	0.02605
2.666	0.01196
2.667	-0.00990
2.668	-0.02554
2.669	-0.02538
2.670	-0.01113
2.671	-0.00110
2.672	-0.01018
2.673	-0.02604
2.674	-0.03159
2.675	-0.03061
2.676	-0.03144
2.677	-0.02862
2.678	-0.01320
2.679	0.00629
2.680	0.01327
2.681	0.00827
2.682	0.00621
2.683	0.01378
2.684	0.02459
2.685	0.02884
2.686	0.02174
2.687	0.00935
2.688	0.00359
2.689	0.00962
2.690	0.02028
2.691	0.02673
2.692	0.03060
2.693	0.03913
2.694	0.04880
2.695	0.04362
2.696	0.02076
2.697	0.00075
2.698	-0.00058
2.699	0.01200
2.700	0.02181
2.701	0.01943
2.702	0.01131
2.703	0.00774
2.704	0.00949
2.705	0.01226
2.706	0.01175
2.707	0.00231
2.708	-0.01674
2.709	-0.03336
2.710	-0.03023
2.711	-0.00826
2.712	0.01144
2.713	0.01511
2.714	0.00810
2.715	-0.00287
2.716	-0.01439
2.717	-0.02187
2.718	-0.02145
2.719	-0.01478
2.720	-0.00967
2.721	-0.01130
2.722	-0.01195
2.723	-0.00142
2.724	0.01603
2.725	0.02532
2.726	0.02177
2.727	0.01559
2.728	0.01459
2.729	0.01427
2.730	0.00725
2.731	-0.00532
2.732	-0.01563
2.733	-0.01605
2.734	-0.00667
2.735	0.00381
2.736	0.00492
2.737	-0.00631
2.738	-0.02283
2.739	-0.03082
2.740	-0.02382
2.741	-0.01073
2.742	-0.00535
2.743	-0.00836
2.744	-0.00967
2.745	-0.00345
2.746	0.00506
2.747	0.00737
2.748	0.00046
2.749	-0.01049
2.750	-0.01836
2.751	-0.01989
2.752	-0.01715
2.753	-0.01477
2.754	-0.01642
2.755	-0.01901
2.756	-0.01585
2.757	-0.00425
2.758	0.01109
2.759	0.02413
2.760	0.03243
2.761	0.03613
2.762	0.03409
2.763	0.02444
2.764	0.00939
2.765	-0.00349
2.766	-0.00676
2.767	-0.00051
2.768	0.00936
2.769	0.01844
