#Lambda	Flux
2.232	0.00545
2.233	0.03940
2.234	0.05960
2.235	0.02818
2.236	0.00640
2.237	0.03032
2.238	0.05799
2.239	0.05105
2.240	0.03146
2.241	0.02831
2.242	0.03814
2.243	0.05822
2.244	0.08434
2.245	0.10070
2.246	0.09349
2.247	0.08539
2.248	0.08655
2.249	0.06090
2.250	0.01758
2.251	-0.00242
2.252	0.00224
2.253	0.01988
2.254	0.04113
2.255	0.05221
2.256	0.05460
2.257	0.05768
2.258	0.05252
2.259	0.01982
2.260	-0.01485
2.261	-0.00530
2.262	0.02611
2.263	0.03071
2.264	0.02122
2.265	0.03080
2.266	0.04073
2.267	0.04094
2.268	0.04459
2.269	0.03234
2.270	0.01503
2.271	0.00629
2.272	-0.00729
2.273	-0.00483
2.274	0.00777
2.275	0.01282
2.276	0.02163
2.277	0.01406
2.278	-0.01432
2.279	-0.04165
2.280	-0.05332
2.281	-0.03122
2.282	0.00223
2.283	0.01848
2.284	0.02044
2.285	0.01844
2.286	0.01235
2.287	0.00424
2.288	0.00751
2.289	0.01858
2.290	0.02127
2.291	0.02021
2.292	0.01932
2.293	0.00683
2.294	-0.00726
2.295	-0.00388
2.296	0.01291
2.297	0.01954
2.298	0.00434
2.299	-0.01115
2.300	-0.01502
2.301	-0.01088
2.302	0.00638
2.303	0.02412
2.304	0.02624
2.305	0.02784
2.306	0.03637
2.307	0.03536
2.308	0.02796
2.309	0.02291
2.310	0.01017
2.311	-0.00287
2.312	-0.00578
2.313	-0.00254
2.314	0.00647
2.315	0.01629
2.316	0.01880
2.317	0.00973
2.318	0.00454
2.319	0.01574
2.320	0.01652
2.321	0.00627
2.322	0.00307
2.323	-0.00267
2.324	-0.01187
2.325	-0.00900
2.326	0.00996
2.327	0.03339
2.328	0.03353
2.329	0.01160
2.330	0.00118
2.331	0.00540
2.332	0.00977
2.333	0.01064
2.334	0.00683
2.335	0.00818
2.336	0.01108
2.337	0.00454
2.338	0.00305
2.339	0.00921
2.340	0.00536
2.341	-0.00235
2.342	0.00308
2.343	0.01275
2.344	0.01839
2.345	0.03004
2.346	0.04137
2.347	0.04515
2.348	0.03766
2.349	0.00899
2.350	-0.01070
2.351	0.00753
2.352	0.02254
2.353	0.00466
2.354	-0.00829
2.355	0.00300
2.356	0.01058
2.357	0.00339
2.358	-0.00287
2.359	0.00373
2.360	0.01631
2.361	0.02049
2.362	0.01451
2.363	0.01141
2.364	0.01515
2.365	0.01522
2.366	0.01170
2.367	0.00510
2.368	-0.00138
2.369	0.00833
2.370	0.02888
2.371	0.03678
2.372	0.03504
2.373	0.04132
2.374	0.04613
2.375	0.03541
2.376	0.02586
2.377	0.03524
2.378	0.05165
2.379	0.05943
2.380	0.05634
2.381	0.03664
2.382	0.00652
2.383	-0.00427
2.384	0.00230
2.385	-0.00043
2.386	-0.00471
2.387	0.01041
2.388	0.03181
2.389	0.04271
2.390	0.04437
2.391	0.04680
2.392	0.05144
2.393	0.04406
2.394	0.02129
2.395	0.00710
2.396	0.01356
2.397	0.02726
2.398	0.03342
2.399	0.02783
2.400	0.01788
2.401	0.02072
2.402	0.04325
2.403	0.06635
2.404	0.07166
2.405	0.05936
2.406	0.04445
2.407	0.04101
2.408	0.04318
2.409	0.03753
2.410	0.03412
2.411	0.04512
2.412	0.05568
2.413	0.05005
2.414	0.03741
2.415	0.02974
2.416	0.02735
2.417	0.02682
2.418	0.03127
2.419	0.04347
2.420	0.05552
2.421	0.05904
2.422	0.05512
2.423	0.05279
2.424	0.06137
2.425	0.07436
2.426	0.08212
2.427	0.08645
2.428	0.08812
2.429	0.08713
2.430	0.08153
2.431	0.06551
2.432	0.04801
2.433	0.04519
2.434	0.06252
2.435	0.08940
2.436	0.09314
2.437	0.05816
2.438	0.02129
2.439	0.01256
2.440	0.01940
2.441	0.02427
2.442	0.02741
2.443	0.03128
2.444	0.02510
2.445	0.00646
2.446	-0.00400
2.447	0.00449
2.448	0.01618
2.449	0.01720
2.450	0.01619
2.451	0.02224
2.452	0.02815
2.453	0.02909
2.454	0.03111
2.455	0.03477
2.456	0.03773
2.457	0.04072
2.458	0.03589
2.459	0.02062
2.460	0.01079
2.461	0.01925
2.462	0.03546
2.463	0.04375
2.464	0.04148
2.465	0.03709
2.466	0.03475
2.467	0.03025
2.468	0.02750
2.469	0.03871
2.470	0.05563
2.471	0.05395
2.472	0.03477
2.473	0.02399
2.474	0.02802
2.475	0.03295
2.476	0.03188
2.477	0.02905
2.478	0.03065
2.479	0.03862
2.480	0.05065
2.481	0.06099
2.482	0.06617
2.483	0.06781
2.484	0.06213
2.485	0.04234
2.486	0.02301
2.487	0.02441
2.488	0.03709
2.489	0.03493
2.490	0.01611
2.491	-0.00256
2.492	-0.01174
2.493	-0.01673
2.494	-0.02073
2.495	-0.01436
2.496	0.00092
2.497	0.00555
2.498	-0.00410
2.499	-0.00904
2.500	0.00231
2.501	0.02365
2.502	0.03777
2.503	0.03478
2.504	0.02399
2.505	0.01838
2.506	0.01752
2.507	0.01332
2.508	0.00679
2.509	0.00778
2.510	0.01620
2.511	0.02018
2.512	0.01612
2.513	0.01180
2.514	0.01112
2.515	0.01193
2.516	0.01056
2.517	0.00280
2.518	-0.00804
2.519	-0.00978
2.520	0.00056
2.521	0.01169
2.522	0.01525
2.523	0.01373
2.524	0.01058
2.525	0.00396
2.526	-0.00414
2.527	-0.00844
2.528	-0.01232
2.529	-0.01915
2.530	-0.02132
2.531	-0.01525
2.532	-0.00778
2.533	-0.00397
2.534	-0.00429
2.535	-0.00604
2.536	-0.00311
2.537	0.00577
2.538	0.01654
2.539	0.02613
2.540	0.02821
2.541	0.01501
2.542	-0.00431
2.543	-0.01008
2.544	-0.00192
2.545	0.00288
2.546	-0.00158
2.547	-0.00668
2.548	-0.00748
2.549	-0.00571
2.550	-0.00140
2.551	0.00418
2.552	0.00363
2.553	-0.00436
2.554	-0.01066
2.555	-0.00783
2.556	0.00175
2.557	0.01132
2.558	0.01768
2.559	0.02025
2.560	0.01611
2.561	0.00146
2.562	-0.01407
2.563	-0.01467
2.564	-0.00200
2.565	0.00914
2.566	0.01075
2.567	0.00374
2.568	-0.00869
2.569	-0.01724
2.570	-0.01114
2.571	0.00574
2.572	0.01932
2.573	0.02276
2.574	0.02115
2.575	0.02366
2.576	0.03147
2.577	0.03267
2.578	0.01848
2.579	-0.00207
2.580	-0.01274
2.581	-0.00719
2.582	0.00822
2.583	0.02293
2.584	0.03099
2.585	0.03160
2.586	0.02890
2.587	0.02568
2.588	0.01927
2.589	0.00942
2.590	0.00114
2.591	-0.00290
2.592	-0.00605
2.593	-0.01241
2.594	-0.02042
2.595	-0.01974
2.596	-0.00821
2.597	0.00035
2.598	-0.00028
2.599	-0.00354
2.600	0.00017
2.601	0.01474
2.602	0.02832
2.603	0.02519
2.604	0.00555
2.605	-0.01569
2.606	-0.02605
2.607	-0.02688
2.608	-0.02460
2.609	-0.01900
2.610	-0.00813
2.611	0.00636
2.612	0.01991
2.613	0.02737
2.614	0.02753
2.615	0.02655
2.616	0.03108
2.617	0.03623
2.618	0.03395
2.619	0.02563
2.620	0.01153
2.621	-0.00712
2.622	-0.01687
2.623	-0.01154
2.624	-0.00124
2.625	0.00441
2.626	0.00629
2.627	0.01021
2.628	0.01825
2.629	0.03532
2.630	0.05743
2.631	0.06030
2.632	0.03941
2.633	0.01765
2.634	0.00374
2.635	-0.00894
2.636	-0.01851
2.637	-0.01589
2.638	-0.00220
2.639	0.01031
2.640	0.01135
2.641	0.00232
2.642	-0.00715
2.643	-0.00923
2.644	-0.00163
2.645	0.01110
2.646	0.01890
2.647	0.01540
2.648	0.00805
2.649	0.00829
2.650	0.01538
2.651	0.02246
2.652	0.02585
2.653	0.02423
2.654	0.01624
2.655	0.00405
2.656	-0.00466
2.657	-0.00261
2.658	0.01081
2.659	0.02925
2.660	0.04294
2.661	0.04559
2.662	0.04058
2.663	0.03477
2.664	0.03158
2.665	0.03279
2.666	0.03752
2.667	0.04075
2.668	0.03954
2.669	0.03512
2.670	0.02573
2.671	0.01008
2.672	-0.00625
2.673	-0.01654
2.674	-0.01796
2.675	-0.01124
2.676	-0.00159
2.677	0.00467
2.678	0.00769
2.679	0.01171
2.680	0.01598
2.681	0.01898
2.682	0.02383
2.683	0.03037
2.684	0.03003
2.685	0.01624
2.686	-0.00652
2.687	-0.02680
2.688	-0.03682
2.689	-0.03593
2.690	-0.02892
2.691	-0.02059
2.692	-0.01179
2.693	-0.00368
2.694	-0.00215
2.695	-0.00915
2.696	-0.01557
2.697	-0.01121
2.698	0.00117
2.699	0.01063
2.700	0.01105
2.701	0.00597
2.702	0.00487
2.703	0.01075
2.704	0.01581
2.705	0.01296
2.706	0.00599
2.707	0.00474
2.708	0.01180
2.709	0.01900
2.710	0.01977
2.711	0.01817
2.712	0.01960
2.713	0.02310
2.714	0.02702
2.715	0.03270
2.716	0.03896
2.717	0.04026
2.718	0.03493
2.719	0.02841
2.720	0.02461
2.721	0.02145
2.722	0.01669
2.723	0.01316
2.724	0.01449
2.725	0.01844
2.726	0.01838
2.727	0.01121
2.728	0.00212
2.729	-0.00172
2.730	0.00182
2.731	0.00908
2.732	0.01479
2.733	0.01476
2.734	0.00866
2.735	0.00025
2.736	-0.00490
2.737	-0.00542
2.738	-0.00227
2.739	0.00842
2.740	0.02597
2.741	0.03891
2.742	0.03977
2.743	0.03263
2.744	0.02276
2.745	0.01182
2.746	0.00235
2.747	-0.00179
2.748	-0.00047
2.749	0.00168
2.750	0.00123
2.751	0.00017
2.752	0.00346
2.753	0.01300
2.754	0.02269
2.755	0.02224
2.756	0.01095
2.757	-0.00053
2.758	-0.00644
2.759	-0.00867
2.760	-0.00785
2.761	-0.00457
2.762	-0.00352
2.763	-0.00760
2.764	-0.01228
2.765	-0.01231
2.766	-0.00634
2.767	0.00449
2.768	0.01680
2.769	0.02394
2.770	0.02144
2.771	0.01095
2.772	-0.00182
2.773	-0.01035
2.774	-0.01044
2.775	-0.00183
2.776	0.01153
2.777	0.02265
2.778	0.02679
2.779	0.02484
2.780	0.02221
2.781	0.02080
2.782	0.01604
2.783	0.00387
2.784	-0.01092
2.785	-0.01834
2.786	-0.01296
2.787	-0.00087
2.788	0.00669
2.789	0.00521
2.790	-0.00011
2.791	-0.00210
2.792	0.00086
2.793	0.00512
2.794	0.00709
2.795	0.00812
2.796	0.01057
2.797	0.01361
2.798	0.01606
2.799	0.01836
2.800	0.01864
2.801	0.01260
2.802	0.00116
2.803	-0.00759
2.804	-0.00741
2.805	-0.00106
2.806	0.00475
2.807	0.00688
2.808	0.00680
2.809	0.00768
2.810	0.01123
2.811	0.01656
2.812	0.02068
2.813	0.02187
2.814	0.02113
2.815	0.01976
2.816	0.01697
2.817	0.01169
2.818	0.00512
2.819	0.00145
2.820	0.00347
2.821	0.00900
2.822	0.01302
2.823	0.01207
2.824	0.00744
2.825	0.00349
2.826	0.00372
2.827	0.00717
2.828	0.00914
2.829	0.00705
2.830	0.00330
2.831	0.00167
2.832	0.00320
2.833	0.00694
2.834	0.01161
2.835	0.01529
2.836	0.01626
2.837	0.01526
2.838	0.01452
2.839	0.01394
2.840	0.01171
2.841	0.00879
2.842	0.00856
2.843	0.01170
2.844	0.01463
2.845	0.01428
2.846	0.01074
2.847	0.00573
2.848	0.00043
2.849	-0.00295
2.850	-0.00194
2.851	0.00242
2.852	0.00495
2.853	0.00278
2.854	-0.00087
2.855	-0.00059
2.856	0.00547
2.857	0.01537
2.858	0.02734
2.859	0.03878
2.860	0.04421
2.861	0.03965
2.862	0.02844
2.863	0.01862
2.864	0.01457
2.865	0.01441
2.866	0.01448
2.867	0.01376
2.868	0.01264
2.869	0.00998
2.870	0.00430
2.871	-0.00305
2.872	-0.00812
2.873	-0.00852
2.874	-0.00626
2.875	-0.00425
2.876	-0.00155
2.877	0.00489
2.878	0.01448
2.879	0.02194
2.880	0.02320
2.881	0.01970
2.882	0.01562
2.883	0.01238
2.884	0.00889
2.885	0.00474
2.886	0.00144
2.887	0.00083
2.888	0.00300
2.889	0.00628
2.890	0.00857
2.891	0.00983
2.892	0.01202
2.893	0.01586
2.894	0.01875
2.895	0.01758
2.896	0.01285
2.897	0.00797
2.898	0.00579
2.899	0.00697
2.900	0.01060
2.901	0.01416
2.902	0.01511
2.903	0.01372
2.904	0.01263
2.905	0.01305
2.906	0.01323
2.907	0.01179
2.908	0.01017
2.909	0.01051
2.910	0.01213
2.911	0.01245
2.912	0.01024
2.913	0.00616
2.914	0.00160
2.915	-0.00251
2.916	-0.00543
2.917	-0.00702
2.918	-0.00810
2.919	-0.00936
2.920	-0.01026
2.921	-0.00906
2.922	-0.00469
2.923	0.00214
2.924	0.00946
2.925	0.01571
2.926	0.02005
2.927	0.02166
2.928	0.01947
2.929	0.01377
2.930	0.00707
2.931	0.00252
2.932	0.00082
2.933	-0.00033
2.934	-0.00284
