FILENAME:	2bj01516.txt
TITLE:	AFC Filter 11 ZnS Test Piece Sample 2BJ @ 15K, 2.6°i, In f/8 (CDCR 04752/04755, SMCR 01893)
FORMAL_COMMENT:	Astronomical Filter Consortium - Filter 11 (NeII) Test Piece
CREATION_DATE:	14-Feb-2003
RUN_DATE:	12-Jul-2001
AUTHOR:	Richard Sherwood
CHANNEL:	11
CHANNEL_VERSION:	n/a
MODEL:	Test Piece
TEMPERATURE:	15K
ANGLE:	2.6°
FNUMBER:	f/8
DATA:
1.966	0.25049
1.967	0.29440
1.968	0.07963
1.969	0.28721
1.970	0.36724
1.971	0.26889
1.972	0.15935
1.973	0.07314
1.974	-0.21241
1.975	-0.14817
1.976	0.18943
1.977	-0.16411
1.978	-0.20609
1.979	0.17221
1.980	0.13483
1.981	0.09518
1.982	0.18823
1.983	-0.06064
1.984	-0.12745
1.985	0.10196
1.986	0.03311
1.987	-0.04626
1.988	-0.05092
1.989	-0.22530
1.990	0.02615
1.991	0.00555
1.992	0.12383
1.993	-0.18789
1.994	-0.19428
1.995	0.33321
1.996	0.07186
1.997	-0.13323
1.998	-0.14008
1.999	-0.04371
2.000	0.14946
2.001	-0.22936
2.002	0.06585
2.003	-0.12110
2.004	0.13103
2.005	0.18634
2.006	0.15309
2.007	0.17342
2.008	0.15538
2.009	-0.19063
2.010	0.02023
2.011	-0.12039
2.012	0.12367
2.013	-0.04811
2.014	-0.07429
2.015	0.14114
2.016	-0.08029
2.017	-0.10862
2.018	0.14918
2.019	0.00875
2.020	0.12320
2.021	0.09840
2.022	-0.01716
2.023	-0.27704
2.024	-0.00657
2.025	-0.42823
2.026	0.05461
2.027	0.03516
2.028	-0.25578
2.029	0.17035
2.030	0.00909
2.031	0.11623
2.032	-0.26511
2.033	-0.05242
2.034	0.20251
2.035	-0.12439
2.036	0.02555
2.037	-0.17016
2.038	0.28125
2.039	0.14525
2.040	-0.21000
2.041	0.08640
2.042	-0.06078
2.043	-0.06151
2.044	0.14245
2.045	0.37639
2.046	-0.06706
2.047	0.02099
2.048	-0.29615
2.049	0.05040
2.050	0.08580
2.051	0.31562
2.052	-0.01209
2.053	-0.09614
2.054	0.45279
2.055	0.05375
2.056	0.88158
2.057	0.35586
2.058	0.33055
2.059	0.47157
2.060	0.22847
2.061	-0.03018
2.062	-0.05308
2.063	0.48947
2.064	0.11225
2.065	0.19218
2.066	0.29585
